"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total","Littoral sediment_1","Saltwater_1","Freshwater_1","total_cover","green","blue","grey","bgg_check","perc_green","perc_blue","perc_grey"
"Arbroath",785816.2042,0,3889887.557,1142593.817,0,0,0,0,0,300.2288365,0,0,0,257.0648317,0,394804.0541,117275.4068,398327.808,1345.174822,1940998.375,6065006.703,14736612.3935902,51824,21857,106071,8268197,14916715,"coastal",23500,56.56659083,-2.600880703,5.338125195,"scotland",14916364.3935902,420184.808,106071,52081.0648317,14916364.3935902,5818597.8070365,1091761.5085537,8006005.078,14916364.3935902,39.0081500659561,7.31921988325015,53.6726300507938
"Arnold",442475.2615,9343.98348,603061.5894,1421202.62,0,300.2128863,0,0,812.2206763,800.5707653,0,109.226557,0,10022.67061,0,0,0,0,0,1213085.709,8295239.528,11996453.5928749,16763,0,0,8605501,12013217,"inland",40010,53.00017174,-1.121989122,6.890968799,"england",12013216.5928749,0,0,26785.67061,12013216.5928749,2478105.6852649,26785.67061,9508325.237,12013216.5928749,20.6281612098352,0.222968348259755,79.1488704419051
"Ascot",4366051.3,2950556.596,267766.9939,4105028.058,31275.19589,0,0,1223.909729,562454.2181,0,0,0,0,278901.3078,0,0,0,0,0,591021.7329,11001617.2,24155896.512319,197913,0,0,13019475,24353809,"inland",23995,51.40208244,-0.659462157,9.765935664,"england",24353809.512319,0,0,476814.3078,24353809.512319,12283132.36189,478038.217529,11592638.9329,24353809.512319,50.4361847606501,1.96288887488913,47.6009263644607
"Ash and Ash Vale",1018761.559,506711.9865,733853.7588,1441241.894,53966.55351,300.1803011,0,9894.927145,229668.0089,0,0,0,0,500575.395,0,0,0,0,0,686512.5749,6317664.616,11499151.4540561,709267,0,0,6543317,12208518,"inland",24285,51.2510932,-0.722409218,7.859280808,"england",12208418.4540561,0,0,1209842.395,12208418.4540561,3984503.9410111,1219737.322145,7004177.1909,12208418.4540561,32.6373473845607,9.99095277357369,57.3716998418657
"Ashford (Ashford)",2429958.583,29828.76576,3963445.709,5498384.595,0,2418.392575,0,337.4030906,99.97850059,299.9456134,0,0,0,29732.24547,0,0,0,0,0,3895804.371,15056291.77,30906601.7590096,465926,0,0,20785282,31372627,"inland",82140,51.14127015,0.875148481,5.970429847,"england",31372527.7590096,0,0,495658.24547,31372527.7590096,11924435.969449,495995.6485606,18952096.141,31372527.7590096,38.0091654107295,1.5809872011928,60.4098473880777
"Ashington (Northumberland)",1393512.093,0,1233177.299,469790.9956,36734.5324,0,0,281.2513211,0,3202.500849,0,0,0,14001.26881,0,43881.51444,1660.897397,133528.6557,0,3179877.947,4957849.483,11467498.4385171,294766,29416,19479,7706620,11811159,"inland",28280,55.17773913,-1.557869103,4.219874107,"england",11811159.4385171,162944.6557,19479,308767.26881,11811159.4385171,3136417.420849,537014.5876681,8137727.43,11811159.4385171,26.5546954740184,4.54667122616984,68.8986332998117
"Ashton-in-Makerfield",834698.2121,0,1905996.572,655851.0896,1862021.788,0,300.2265769,0,0,0,6500.435948,0,0,4118.731138,0,0,0,0,0,1668180.775,4795440.298,11733108.1283629,58562,0,0,6710677,11791670,"inland",26375,53.4931054,-2.638339113,5.618520996,"england",11791670.1283629,0,0,62680.731138,11791670.1283629,5258867.8882769,69181.167086,6463621.073,11791670.1283629,44.5981598113703,0.586695237679658,54.81514495095
"Ashton-under-Lyne",1361646.292,100.0797183,270692.6534,2033645.802,8153.088037,0,600.4785181,13239.03016,0,12578.80087,0,0,0,20187.34453,0,0,0,0,0,3556680.339,6384600.744,13662124.6522334,179199,0,0,9559488,13841323,"inland",48600,53.49551158,-2.092982456,2.692646196,"england",13841323.6522334,0,0,199386.34453,13841323.6522334,3687417.1945434,212625.37469,9941281.083,13841323.6522334,26.6406399213735,1.53616359267556,71.823196485951
"Aylesbury",382822.1374,100.0627242,2607515.825,4308660.691,100432.4133,0,0,12942.7058,0,0,0,0,0,94404.07756,0,0,0,0,0,3516143.839,12421272.23,23444293.9817842,297926,0,0,17194008,23742220,"inland",87950,51.81178156,-0.805702161,6.746402541,"england",23742219.9817842,0,0,392330.07756,23742219.9817842,7399531.1294242,405272.78336,15937416.069,23742219.9817842,31.1661299368861,1.70697088844657,67.1268991746673
"Ayr",2077727.354,0,2082764.411,5118952.516,200.0235865,0,0,0,0,299410.1658,0,0,1712.495273,1253.935121,0,0,0,258677.6096,634662.6977,7241617.313,9224960.202,26941938.7230805,227028,562677,468291,16897086,28200153,"coastal",46100,55.44932502,-4.61731544,5.6884935,"scotland",28199934.7230805,821354.6096,470003.495273,228281.935121,28199934.7230805,9579054.4703865,2154302.737694,16466577.515,28199934.7230805,33.9683568932038,7.63938909380095,58.3922540129952
"Bamber Bridge",2327035.986,0,2158255.901,3412095.475,149658.9008,0,2323.362722,0,0,0,0,0,0,2479.785167,0,0,0,0,0,2378842.298,9344527.696,19775219.404689,139941,9373,130383,12692024,20054917,"inland",40360,53.73059956,-2.670342531,6.436915011,"england",20054916.404689,9373,130383,142420.785167,20054916.404689,8049369.625522,282176.785167,11723369.994,20054916.404689,40.136640129001,1.40702050047451,58.4563393705245
"Banbury",808013.8716,23415.81482,3862387.288,2845115.752,64477.83312,0,0,43939.24088,800.6008954,0,0,0,0,85291.96815,0,0,0,0,0,4133148.292,8540961.126,20407551.7874654,226813,0,0,13820948,20634365,"inland",52045,52.06228416,-1.338781371,5.672419672,"england",20634364.7874654,0,0,312104.96815,20634364.7874654,7604211.1604354,356044.20903,12674109.418,20634364.7874654,36.8521698572212,1.72549149294038,61.4223386498384
