"name","Deciduous woodland","Coniferous woodland","Arable","Improved grassland","Neutral grassland","Calacareous grassland","Acid grassland","Fen","Heather","Heather grassland","Bog","Inland rock","Saltwater","Freshwater","Supralittoral rock","Supralittoral sediment","Littoral rock","Littoral sediment","Saltmarsh","Urban","Suburban","total_ceh","surface_water_area","foreshore_area","tidal_water_area","original_bua_area","200m_buff_area","class","population_counts","long","lat","imdd_weight_av","country","lc_lu_total"
"Bury (Bury)",3546694.479,4339.283843,200880.5219,7747367.862,663449.7673,300.2371405,19322.84156,800.6300108,800.627345,86654.14006,0,400.315539,0,23368.0518,0,0,0,0,0,5845611.38,13419632.6,31559622.7374983,777987,0,0,19624204,32337610,"inland",81095,53.5948683,-2.29392758,4.970664799,"england",32337609.7374983
"Bury St Edmunds",1312984.063,160077.3246,4324865.225,3108460.925,0,55928.70834,73564.57748,694.9618659,0,0,0,0,0,51556.61528,0,0,0,0,0,3539660.148,9528299.926,22156092.4745659,169796,0,0,14666170,22325888,"inland",41280,52.24667022,0.711024942,7.063136188,"england",22325888.4745659
"Bushey",1148188.702,30093.72277,348144.4293,3672908.956,0,0,0,0,9224.285821,26139.75444,0,400.1882949,0,8352.239345,0,0,0,0,0,847215.1576,6461514.691,12552182.1265709,37771,0,0,7151554,12589953,"inland",28425,51.65247999,-0.35912864,7.97718104,"england",12589953.1265709
"Byfleet",2238917.381,844034.2309,227900.2032,2059293.321,67999.99329,0,100.0507956,484.1478135,28315.74805,6138.614797,0,0,0,70112.09195,0,0,0,0,0,1591435.164,6057106.418,13191837.3647961,199369,0,0,7650802,13391206,"inland",14190,51.34817484,-0.455565974,8.110171442,"england",13391206.3647961
"Caerphilly",2158516.457,232521.7019,128786.5876,1871228.882,100.0617511,2499.122598,498093.543,832.4954619,226885.0012,0,0,47693.24411,0,8761.284232,0,0,0,0,0,816262.8141,7947051.463,13939232.657953,170455,0,0,9165683,14109888,"inland",331218,51.57736864,-3.227058835,5.71224291,"wales",14109687.657953
"Camberley",1290241.919,1861015.724,100593.513,1112863.422,60045.04905,18373.40627,0,2701.659583,378484.6118,20214.62704,0,0,0,189356.695,0,0,0,0,0,1345705.782,11226453.94,17606050.348743,144585,0,0,12107956,17750635,"inland",36785,51.3359754,-0.729382173,8.326214103,"england",17750635.348743
"Cambridge (Cambridge)",1388473.814,50009.62194,5200023.206,8519131.798,600.1558,92350.27696,19053.92313,155180.6834,0,0,0,200.0555879,0,138131.8411,0,0,0,0,0,8845224.677,21418105.42,45826485.4729179,655798,0,0,36115474,46482284,"inland",152740,52.2039159,0.136332805,6.857529909,"england",46482283.4729179
"Cambuslang",1522219.846,0,1772895.169,1740430.3,2697.113041,0,0,0,0,12858.93215,2376.055795,4301.535015,0,4762.171643,0,0,0,0,7264.584539,1635089.861,9296525.219,16001420.787183,285025,0,0,10671199,16286675,"inland",31010,55.81560914,-4.175335344,5.789362169,"scotland",16286445.787183
"Camden",1017152.163,46212.24461,15920.62961,1097434.677,0,0,0,0,4843.83497907,11098.55714,0,0,0,29551.231406,0,0,0,0,0,16305684.81,6570785.205,25098683.3527451,185866,185,41719,18252206,25320425,"inland",210100,51.54883141,-0.162148204,5.677409424,"england",25326453.3527451
"Cannock",2579942.039,406888.0207,1946533.244,3346406.679,0,200.1595806,873.4859334,141.4107535,24780.84411,87672.31659,0,1200.957456,0,50755.99451,0,0,0,0,0,3511887.94,12906458.99,24863742.0816335,225448,0,0,17921162,25089490,"inland",63065,52.69857154,-2.010407809,5.464996608,"england",25089190.0816335
"Canterbury",2323063.584,26701.07345,3170727.635,4338660.701,0,260305.8386,0,180860.7276,0,0,0,0,0,43311.61285,0,0,0,0,0,4074131.995,8058304.296,22476067.4635,254098,0,0,13593528,22730165,"inland",55090,51.27859645,1.081021671,6.492075273,"england",22730165.4635
"Canvey Island",6099.915759,0,249198.7261,2952485.161,0,299.9950548,0,207785.2298,0,0,0,0,0,331.1222848,0,53706.99753,0,17099.92385,701996.2941,6302501.77,1338280.413,11829785.5484786,173348,660590,528355,9346348,13192078,"estuarine",38010,51.52105992,0.577123438,4.292372337,"england",13192078.5484786
"Cardiff",7830816.516,595152.5899,1663912.972,11912756.65,38902.713234,12252.48419,17323.89612,423128.85,2054642.624,0,0,89213.08707,0,210033.8293,100.0647404,0,0,895877.1841,260133.1864,27840981.68,42780846.05,96626074.3770544,2742551,39791,101357,75170617,99510764,"coastal",362400,51.4997761,-3.188358964,6.204707235,"wales",99509773.3770544
"Carlisle",1936405.214,369.1244268,3708650.954,4878346.157,236016.4723,300.2127171,3905.057415,432151.5531,0,2301.617128,11107.94544,0,0,11724.21738,0,9008.616641,0,0,0,6144263.459,15418368.55,32792919.1505479,437215,0,0,21427687,33230134,"inland",77730,54.8925499,-2.943457819,5.317494339,"england",33230134.1505479
"Carlton (Gedling)",1599666.754,23586.6973,2587725.338,2708760.937,387.296985,800.5614076,0,10480.29084,902.7902224,29139.40464,0,2501.766231,0,110726.0715,0,0,0,0,0,3038072.217,11534781.13,21647531.255126,558862,0,0,14351350,22206393,"inland",53555,52.97173204,-1.078565073,6.714261237,"england",22206393.255126
"Carterton",341180.3949,300.2332743,2241885.641,2971901.853,25077.16088,0,0,1645.84655,0,0,0,0,0,6387.326983,0,0,0,0,0,2250071.397,3947944.853,11786394.7065873,45175,0,0,8120686,11831569,"inland",17950,51.75672553,-1.584944849,8.193336129,"england",11831569.7065873
"Castleford",1529868.945,0,2670606.033,1720482.174,5636.836888,11978.17901,1801.354528,308193.5769,3568.173393,123522.5425,0,0,0,130989.7163,0,0,0,0,0,4011597.918,7877301.095,18395546.544519,496005,0,0,11806992,18891552,"inland",45355,53.72200947,-1.336687361,3.513980234,"england",18891551.544519
"Caterham",2720962.232,200405.0741,60158.84929,2071493.567,0,48030.14311,0,0,165860.5002,49988.57005,0,0,0,308.5497846,0,0,0,0,0,266294.8705,6078816.763,11662319.1190346,8737,0,0,6587996,11671056,"inland",22755,51.28742881,-0.089500383,8.082221222,"england",11671056.1190346
"Catterick Garrison",2681156.156,196176.8771,1160188.924,4098483.688,0,23717.21891,5404.27397,0,15715.02403,325574.7725,0,0,0,2015.506256,0,0,0,0,0,918514.2421,4547287.827,13974234.509866,62459,0,0,6530779,14036694,"inland",14210,54.37221605,-1.716308831,7.427331957,"england",14036693.509866
"Caversham",585123.213,47163.83704,365207.5068,2505288.898,34674.55328,0,0,3320.123464,44990.43694,1300.880295,0,0,0,196195.034,0,0,0,0,0,377545.3805,7501936.585,11662746.448319,473850,0,0,8478818,12136596,"inland",33040,51.47796159,-0.966748437,8.819403858,"england",12136596.448319
"Chadderton",640362.474,0,157227.124,1425136.384,127826.4303,200.159052,100.0795054,4336.283723,0,23912.00351,0,0,0,1239.732853,0,0,0,0,0,4401542.512,6238517.889,13020401.0719434,99545,0,0,9824058,13119946,"inland",37610,53.53419654,-2.156261679,4.862258957,"england",13119946.0719434
"Chafford Hundred and West Thurrock",569472.4093,2000.333232,737757.1385,1131764.611,0,103868.1586,0,458155.445,0,0,0,0,0,64007.31419,0,900.1577874,0,7801.354453,58374.6393,6892498.96,1727547.348,11754147.8693624,354743,69997,246349,7382568,12425237,"estuarine",23585,51.48212555,0.283849766,5.068660545,"england",12425236.8693624
"Chandler's Ford",2313478.748,291316.9724,74058.90222,1220869.836,1994.004619,400.3020936,0,3504.493517,183604.5662,0,0,0,0,47359.64761,0,0,0,0,0,980591.7345,8992401.061,14109580.2681596,44786,0,0,9570315,14154366,"inland",31975,50.98982737,-1.386287892,9.329517994,"england",14154366.2681596
"Chatham",1984577.196,38163.60292,1137047.741,975522.769,0,1367413.286,0,0,0,2650.0651282,0,0,3215.3189969,13279.63453,0,0,0,4400.17152,42069.2956,2525858.102,12838376.5,20932573.6826951,39037,55923,519380,14032356,21529973,"estuarine",76955,51.36153531,0.534393514,4.987881399,"england",21546913.6826951
"Chelmsford",1112205.557,18622.53496,5022522.647,6807448.708,0,30551.62326,20629.18744,0,0,0,0,0,0,85453.60264,0,0,0,0,0,5532189.396,18275259.68,36904882.9363,397094,0,0,25560064,37301977,"inland",110625,51.73930671,0.482202089,7.558990463,"england",37301976.9363
"Cheltenham",1180125.914,40339.58423,1167437.153,7566490.678,219705.7511,89842.06687,0,335.3370203,0,0,0,0,0,56382.46615,0,0,0,0,0,4710859.803,21884310.96,36915829.7133703,119785,0,0,28087994,37035615,"inland",115940,51.89611332,-2.082949588,7.496961691,"england",37035614.7133703
"Cheshunt",940371.9498,6367.672213,373478.6699,3596855.097,0,12848.25129,21801.90767,0,0,0,0,0,0,52297.98459,0,0,0,0,0,1382342.987,7186956.131,13573320.650463,309785,0,0,8439210,13883106,"inland",43680,51.70736994,-0.044062552,5.63692529,"england",13883105.650463
"Chester",1288914.713,0,2630564.883,263220.655,10503261.84,0,0,82907.55469,0,0,7671.562457,0,0,38363.64955,0,0,0,21189.7378,101809.9816,5055884.763,16944779.73,36938569.070097,434724,59427,166565,24666891,37599285,"inland",92760,53.19117013,-2.895107641,6.625901164,"england",37599285.070097
"Chester-le-Street",1650263.182,0,1234102.037,888141.1718,28209.28032,0,0,58.12162407,0,6605.148841,0,0,0,5703.641137,0,0,0,0,0,1031941.473,6003974.494,10848998.5497221,154298,0,0,6758392,11003297,"inland",76420,53.24071469,-1.438798266,6.871952382,"england",11003296.5497221
"Chesterfield",3326820.24,52062.31981,2997123.575,6509702.613,100.076191,100.0767335,800.6121416,1480.747876,4453.853757,11516.42811,0,2802.141687,0,82791.41283,0,0,0,0,0,4905669.21,18764211.37,36659634.6771361,318565,0,0,24321043,36978200,"inland",23560,54.85590511,-1.578451731,5.13324371,"england",36978199.6771361
"Chichester",415925.7487,3160.676508,1930071.435,2112177.199,4571.082096,0,1600.992665,29602.40876,135272.8,0,0,0,0,94989.03547,0,0,0,0,0,2990978.765,6235918.811,13954268.954199,509745,0,0,9645302,14464014,"inland",31710,50.83978573,-0.776099407,6.74655848,"england",14464013.954199
"Chippenham (Wiltshire)",840916.5849,12317.85591,1371060.741,3009456.04,0,2702.149005,591.7263571,600.477196,7478.277762,0,0,199126.2428,0,15235.94012,0,0,0,0,0,691225.1186,8427511.564,14578222.7176501,116608,0,0,9872854,14694831,"inland",36090,51.45844642,-2.124018733,7.642614414,"england",14694830.7176501
"Chorley",2646561.396,0,860561.1037,2615226.28,105779.9977,0,53685.38263,600.4526722,0,0,0,0,0,1860.424455,0,0,0,0,0,2130949.974,6873325.444,15288550.4551572,202378,0,0,9998169,15490928,"inland",39535,53.65286153,-2.633031437,5.480670811,"england",15490928.4551572
"Chorleywood",2023118.446,123146.2842,300835.115,3440112.68,0,0,0,0,3601.93161,434.0370028,0,0,0,17437.63473,0,0,0,0,0,243707.6827,6314912.84,12467306.6512428,50809,0,0,6610402,12518116,"inland",12630,51.65074982,-0.509179602,9.573332367,"england",12518115.6512428
"Christchurch (Bournemouth, Christchurch and Poole)",1067091.794,462661.8018,647302.8308,3876163.103,35597.6085,0,0,146643.9352,365338.4627,0,0,0,6.804677449,64763.76495,0,200.1578474,0,268675.4323,348179.0862,6266545.022,8042286.531,21591456.3349748,270884,60862,869578,14614663,22806096,"coastal",48985,50.74148444,-1.74547701,7.963035572,"england",22792780.3349748
"City of Westminster",862777.2673,36505.67976,44348.77102,1417627.807,4110.5762556,0,0,30955.126179,300.1220365,3201.264673,0,0,0,119979.4823,0,0,0,0,3357.301144,19810109.48,1569552.723,23902825.6006681,380085,111321,952856,18055912,25324391,"inland",205087,51.51272377,-0.157108001,6.035008374,"england",25347087.6006681
"Clacton-on-Sea",235619.9036,2799.047011,3379010.357,1801474.179,0,0,0,82511.94336,40647.28219,0,0,0,0,5668.02607,0,4998.085721,0,353044.7186,4980.003665,3725962.253,9043760.785,18680476.584217,72447,85240,1106935,13411971,19961980,"coastal",53200,51.79943384,1.14552452,2.961411064,"england",19945098.584217
"Clydebank",1463930.567,0,481759.4505,1900453.456,3800.970593,0,0,0,0,500970.379,0,0,1777.791888,601.7358827,0,0,0,6988.929076,448621.3498,5026986.604,6685210.761,16521101.9947397,211685,92200,960051,11511508,17785038,"inland",25230,55.91593358,-4.407520436,3.375609589,"scotland",17785037.9947397
"Coalville",1020769.173,19143.65679,1318982.386,1945712.656,1300.968977,1510.028859,12795.4085,0,4503.748244,100.0755321,0,61485.00317,0,6754.836033,0,0,0,0,0,1919287.694,5256295.742,11568641.3771051,43118,0,0,6589322,11611759,"inland",21980,52.72575328,-1.368650047,5.813588285,"england",11611759.3771051
"Coatbridge",1885672.239,0,1304607.453,1921257.26,4339.369325,0,0,0,0,13839.97384,13400.29427,1979.371897,0,171.2831656,0,0,0,0,0,1793791.885,9455655.459,16394714.5884976,147535,0,0,11443350,16542250,"inland",43720,55.85945762,-4.033373675,3.641889999,"scotland",16542249.5884976
"Cobham (Elmbridge)",2306723.256,915210.135,431844.4981,2886206.822,247.8110009,300.1413951,0,100.517269,48862.20705,17162.49085,0,0,0,53861.81397,0,0,0,0,0,682936.932,7992016.354,15335472.978635,95839,0,0,9162567,15431312,"inland",17505,51.33352544,-0.385608018,9.225599417,"england",15431311.978635
"Colchester",3563192.415,180567.7682,4572370.662,8974246.093,523.8870433,210061.4785,245063.7202,120431.6564,0,0,0,0,65.48599182,95366.02176,0,0,0,0,70480.46911,7715343.498,21822285.19,47569998.3452051,288884,27703,34066,34318842,47921263,"inland",130245,51.89240048,0.903950118,6.184180131,"england",47920651.3452051
"Colwyn Bay",1906399.879,0,55874.91093,3344177.671,417398.4104,0,783.5510887,97247.65383,1800.882078,14278.26165,0,61241.0173,0,0,0,25512.17581,8103.875087,1057345.702,5702.673364,1689050.285,7144053.189,15828970.1375377,57736,30404,67170,8699101,15984479,"coastal",29268,53.29665965,-3.74174508,6.33426786,"wales",15984280.1375377
"Congleton",1621006.925,100.079441,1833065.168,4070221.653,7853.508502,0,0,21875.78234,0,600.4764697,1200.951361,0,0,16206.6135,0,0,0,0,0,1341045.237,6948947.916,15862124.3106137,411966,0,0,9645142,16274091,"inland",30005,53.16629423,-2.212902112,7.273239891,"england",16274090.3106137
"Consett",1650717.39,740449.3493,435064.8249,4378971.528,0,4401.530029,102911.266,0,244654.7323,63888.81734,0,2401.908979,0,157.2305441,0,0,0,0,0,960048.4721,6286206.82,14869873.8694921,49273,0,0,7914414,14919147,"inland",29885,54.85041527,-1.841272389,4.764520502,"england",14919146.8694921
"Corby",3513744.176,300713.8902,5955534.635,2866263.348,14645.57179,0,0,1685.6212,0,0,0,0,0,128047.3761,0,0,0,0,0,8731349.743,12559684.28,34071668.64129,254502,0,0,26025676,34326170,"inland",68160,52.49123794,-0.691076025,4.292891923,"england",34326170.64129
"Coventry",6174039.803,174957.4794,8742981.946,14974450.68,1266277.883,0,0,102443.6749,200.1545296,0,0,0,0,508410.2746,0,0,0,0,0,22292588.51,49566092.8,103802443.20543,839896,0,0,78434739,104642339,"inland",344285,52.40911928,-1.512797304,5.101483632,"england",104642339.20543
"Cramlington",1501916.414,0,3413797.251,531607.9462,64997.15123,0,0,7531.319489,0,75742.6351,0,41532.5157,0,719.6580549,0,0,0,0,0,1440017.49,8067748.557,15145610.9377739,55073,0,0,9486780,15200684,"inland",28845,55.08776187,-1.592813046,4.694334221,"england",15200683.9377739
"Crawley (Crawley)",4212358.906,572700.5048,1706687.234,4882565.388,0,100.0397512,0,0,25234.95493,235627.3793,0,1100.463628,0,30683.49366,0,0,0,0,0,3797836.823,19636468.29,35101363.4770692,301479,0,0,25609005,35402943,"inland",120550,51.11580449,-0.179784816,5.656500868,"england",35402842.4770692
"Crewe",817685.0999,0,1780626.023,2519249.878,4717500.877,0,0,0,0,0,14436.07223,0,0,10062.77726,0,0,0,0,0,5411068.481,12477020.89,27747650.09839,130460,0,0,18932176,27878110,"inland",74120,53.09386795,-2.449466569,5.553967413,"england",27878110.09839
"Crosby (Sefton)",345368.0844,0,1382809.471,923643.876,958910.5844,0,0,0,0,0,100.0690447,0,0,2229.887574,0,691994.055,0,412342.1022,25555.3652,4443154.174,6329256.083,15515363.7518187,760453,29126,313836,11517881,16618778,"coastal",50215,53.48848712,-3.022915217,4.683341167,"england",16618778.7518187
"Crowborough",2826123.681,598346.9989,97403.99671,3593332.822,0,1800.412996,0,0,4000.953416,790818.8839,0,2000.449781,0,2208.906402,0,0,0,0,0,214507.7017,7685714.222,15816259.028805,47286,0,0,8843922,15864046,"inland",21990,51.05282686,0.163522489,8.937909448,"england",15863545.028805
"Croydon",8819337.772,647597.3659,1081177.152,13556162.34,0,155022.6936,0,0,62300.82143,292296.4933,0,0,0,27583.19895,0,0,0,0,0,13235460.08,52382173.35,90259111.26718,75156,0,0,69210052,90334468,"inland",390800,51.35067514,-0.083006572,5.877830851,"england",90334267.26718
"Cumbernauld",7441324.995,7335.741215,2013350.183,3657732.166,12101.53811,0,0,0,4088.585953,67865.2762,20314.35765,700.2897711,0,3066.785248,0,0,0,0,0,2210146.291,12826494.99,28264521.1991471,329102,0,0,15443925,28593623,"inland",50340,55.94647094,-4.000514173,6.086786634,"scotland",28593623.1991471
"Cwmbrân",2806570.471,147844.4011,444487.479,3069646.836,167.6407537,6069.039352,651665.4346,139.6468668,253056.8611,0,0,62026.77315,0,8272.89355,0,0,0,0,0,1283260.48,12111112.82,20844320.7764725,183561,0,0,14638609,21027798,"inland",10604,51.64879845,-3.028555876,5.605339546,"wales",21027881.7764725
"Darlington",2346540.087,0,4998846.011,4212750.577,1601.240378,400.3112699,0,0,0,2087.047054,0,300.2325937,0,10440.6487,0,0,0,0,0,4107639.435,18412162.25,34092767.8399956,327601,0,0,24767986,34420368,"inland",93015,54.52796007,-1.554631974,5.141027211,"england",34420368.8399956
"Dartford",1608335.554,20463.28002,1867550.868,2512302.181,0,358362.1012,0,872002.6282,0,0,0,0,912.1274721,71232.11297,0,13402.59615,0,1600.308596,170543.3125,8410602.775,7028727.72,22936037.5651081,423671,150514,479249,15038155,23989472,"inland",69130,51.44598543,0.236109278,5.157408694,"england",23989471.5651081
"Darwen",946560.2862,475187.817,287787.2862,2285747.635,38215.70358,500.3876412,244072.3292,1000.775188,214263.7237,228046.553,0,22671.60162,0,9227.575845,0,0,0,0,0,2054103.11,4233016.935,11040401.7191742,75363,0,0,6775245,11115765,"inland",27900,53.69745969,-2.466636706,3.454092589,"england",11115764.7191742
"Daventry",784997.5244,2755.243965,2241855.77,1987067.649,5477.553284,0,0,100.0715821,0,0,0,0,0,25316.9167,0,0,0,0,0,2871384.835,5718215.56,13637171.1239311,234938,10,0,9117796,13872309,"inland",27790,52.26304809,-1.167355095,5.742441375,"england",13872119.1239311
"Denton (Tameside)",1403652.011,0,346043.3798,1370869.396,51523.67162,0,0,33572.29817,0,0,300.2390179,0,0,14695.15677,0,0,0,0,0,1972890.4,6061546.108,11255092.6603779,374479,0,0,7381499,11629571,"inland",35995,53.45158633,-2.118369402,3.849338617,"england",11629571.6603779
"Derby",4451640.526,99536.96221,7930087.005,12281189.44,200.1521705,0,0,4223.758868,8112.890176,46484.60166,0,4103.164988,0,286111.6105,0,0,0,0,0,16547087.94,43658536.48,85317314.5315725,904314,0,0,65382575,86221829,"inland",275575,52.91235335,-1.466779834,5.127176654,"england",86221628.5315725
"Dereham",812886.3876,11687.45571,1965839.541,1804297.227,0,0,0,28726.09676,99.98053166,0,0,0,0,1323.11896,0,0,0,0,0,699222.9079,5692082.525,11016165.2404617,47334,0,0,6652576,11063500,"inland",20785,52.67667501,0.943511908,5.323750379,"england",11063499.2404617
"Dewsbury",2287352.612,700.5476504,1690626.917,5010035.702,200.156251,16512.9126,23933.94301,500.3908408,1000.782716,137382.8143,0,0,0,195202.6701,0,0,0,0,0,4573400.675,10892133.99,24828984.1134682,472847,75,0,15579693,25301906,"inland",63720,53.68485404,-1.633379709,2.987180878,"england",25301906.1134682
"Didcot",196912.8587,6606.022436,2651298.447,1530517.671,1070908.929,0,0,0,66905.07047,0,0,0,0,22632.66327,0,0,0,0,0,2064971.948,5763303.28,13374056.889876,62152,0,0,8965300,13436209,"inland",34600,51.61115372,-1.248050092,8.128423938,"england",13436208.889876
"Doncaster",3673823.174,56099.57022,4628192.029,3019762.431,836299.8057,1236.610074,0,117659.3305,0,52149.91926,11384.58441,0,0,561045.6955,0,0,0,0,0,9249644.56,17069912.13,39277209.839664,1454409,0,12177,30629306,40743796,"inland",87455,53.51439507,-1.106909303,3.663533915,"england",40743795.839664
"Dover",1272032.096,32194.66894,702451.9258,853710.3868,2498.793052,3900703.975,0,0,0,0,0,0,24975.71608,4468.190371,0,72334.23957,0,45640.55775,19528.79458,2793395.307,5237400.095,14961334.745943,130622,64189,2116634,8451929,17276895,"coastal",36360,51.12776226,1.303712907,3.985339762,"england",17272779.745943
"Droitwich Spa",779821.9858,18178.85784,1058084.956,1673614.599,419120.1707,0,0,3002.386082,0,0,0,0,0,198519.5817,0,0,0,0,0,1096895.436,6072466.184,11319704.157122,233582,0,0,7389622,11553286,"inland",26420,52.26251927,-2.155147633,6.348343799,"england",11553286.157122
"Dudley (Dudley)",1877929.421,18194.53804,252400.3773,1528633.317,797.2498612,1335.120456,0,700.5578023,1908.663867,0,0,0,0,78432.33436,0,0,0,0,0,6820688.104,10817724.09,21398743.7736865,275454,0,0,15200230,21674198,"inland",64270,52.50473137,-2.091748971,2.521514248,"england",21674197.7736865
"Dumfries",1169663.863,0,1413887.44,4297250.681,168823.8717,0,0,0,0,10474.18194,0,0,2.674545903,10111.38169,500.2702402,0,134069.8226,796.5230923,227183.4947,1449273.361,11096639.63,19978677.1955084,209252,1428,17212,11561230,20206769,"inland",33440,55.06654909,-3.59936405,5.579838204,"scotland",20206569.1955084
"Dundee",3470804.105,4326.854579,2793900.976,3342858.133,0,0,0,300.2145362,0,900.6283206,0,0,0,15541.22816,0,510172.2599,91780.06611,1693145.013,143975.5252,6137802.324,27869680.44,46075187.7678058,263756,30388,117961,35101739,46487293,"estuarine",147720,56.47683071,-3.002671853,4.706626964,"scotland",46487292.7678058
"Dunfermline",2148171.114,0,3868601.74,2140871.459,100177.7042,0,0,0,0,1771.554264,0,0,0,1235.47896,0,400.2423499,0,0,0,1764365.248,15025926.04,25051520.5807739,154065,0,0,17304800,25205586,"inland",55480,56.06931892,-3.425640758,6.973325731,"scotland",25205585.5807739
"Dunstable",340322.3704,2601.41418,1313000.051,1712868.447,0,0,0,0,0,0,0,0,0,21844.33575,0,0,0,0,0,1399193.079,5044951.278,9834780.97533,43651,0,0,6592958,9878432,"inland",34500,51.88545186,-0.531372526,6.003288812,"england",9878431.97533
"Durham",3810803.245,0,3622285.627,3704548.74,800.6241794,12538.26,0,100.0776863,100.0780267,17635.59825,0,2702.106361,0,16126.32819,0,0,0,0,0,1673785.223,11400644.5,24262070.4076934,407531,0,0,14841550,24669602,"inland",50510,54.78316972,-1.572833105,7.739488194,"england",24669601.4076934
"Ealing",1928539.562,40588.38783,343375.3271,7716104.067,500.2365628,100.0453404,300.1512799,577.990508,16729.7502604,1300.598855,0,0,0,146169.0279,0,0,0,0,0,29000560.69,22286323.74,61481169.5746365,550155,0,0,46986898,62030305,"inland",367100,51.52454473,-0.350316685,4.746536705,"england",62031324.5746365
"East Grinstead",2670621.177,125542.5,414718.754,3193909.606,0,1097.055219,0,0,29511.31738,103319.5736,0,0,0,2498.211153,0,0,0,0,0,479266.7099,6883052.147,13903537.051252,61659,0,0,7738741,13965296,"inland",26350,51.12755423,-0.012890698,9.181737184,"england",13965196.051252
"East Kilbride",3649993.945,134292.5661,509146.3031,5248447.922,3201.057622,0,402.4088969,1800.615468,41226.9922,25350.30834,208523.9475,1124181.108,0,1207.47571,0,0,0,0,0,2003291.985,18370655.64,31321722.2749369,180373,0,0,23179660,31502095,"inland",73350,55.75711808,-4.196836316,6.24770455,"scotland",31502095.2749369
"Eastbourne",929062.473,8801.544036,346733.8917,4123557.576,10556.41533,1398238.08,0,1035963.056,0,0,0,0,165.0224432,10233.9021,0,422952.3356,0,336330.5961,5800.818891,7376243.421,11795098.13,27799737.2622002,526626,35144,673967,20065731,29037074,"coastal",99180,50.79194708,0.284122062,5.455828789,"england",29035474.2622002
"Eastleigh",2337511.711,131955.1827,447559.1036,4889984.301,11931.53867,0,0,96690.86269,537626.272,0,0,0,0,255933.1957,0,0,0,0,0,2789005.349,9331786.963,20829984.47936,298306,0,0,11649922,21128291,"inland",48360,50.97213593,-1.339607434,7.494476057,"england",21128290.47936
"Ebbw Vale",496029.1803,976036.4677,104704.1726,163664.0812,0,900.5668047,1723494.918,0,800.5003383,3945612.421,0,100.0630704,0,121.4526434,0,0,0,0,0,270165.9912,5963909.004,13645538.8188568,133722,0,0,6979991,13779261,"inland",19663,51.79318961,-3.214719132,4.185363688,"wales",13779260.8188568
"Eccles (Salford)",307655.2832,0,432719.8659,93428.42538,3299067.42,0,0,0,0,0,55363.92574,0,0,48718.24001,0,0,0,0,0,2898730.555,5355583.11,12491266.82523,408394,0,0,8399706,12899761,"inland",41125,53.48463472,-2.363485954,2.795831688,"england",12899660.82523
"Edinburgh",11136167.46,200.1249857,8011384.87,9004806.637,1304191.083,0,1000.669065,0,100.0669411,44844.03059,0,0,0,2798.863125,0,64198.52204,4586.220838,1715631.072,46255.72427,23686466.54,68467487.88,123490119.763855,1494912,94691,1211145,102481598,126291281,"coastal",526470,55.93470119,-3.239718636,7.176828669,"scotland",126290867.763855
"Egham",1767846.217,349965.3696,138358.3807,2373290.854,104188.3409,0,0,3781.147485,2277.506359,3501.944972,0,0,0,57246.82743,0,0,0,0,0,1634617.378,4971382.539,11406456.505446,306197,0,0,6879397,11712653,"inland",28000,51.42678962,-0.563447062,7.769634718,"england",11712653.505446
"Elgin",1450315.147,184835.3339,3548562.033,2062716.569,0,0,0,0,0,0,13258.59129,0,0,437.8849993,0,0,0,0,0,608175.3409,7575712.906,15444013.8060893,187046,0,0,9411724,15631060,"inland",24930,57.64773081,-3.31521444,6.37264031,"scotland",15631059.8060893
"Ellesmere Port",2150096.325,0,2407423.436,2279301.587,5086573.603,0,0,0,0,0,4616.656813,0,0,30559.51438,0,0,0,24184.95574,711324.2136,10657182.12,13872012.54,37223274.951533,887194,13025,10503,26631382,38167112,"estuarine",65430,53.27609047,-2.913163229,4.184335745,"england",38133996.951533
"Enfield",3483186.249,107437.1931,1716375.763,10710468.21,292.3284155,21536.45442,180976.0756,1417.54769,26941.53921,5661.713921,0,0,0,215609.1126,0,0,0,0,0,22915259.95,28466083.87,67851246.0069565,1417014,0,0,53201217,69268261,"inland",330000,51.64823388,-0.095034586,4.631112435,"england",69268260.0069565
"Epsom",1739482.11,49501.80757,60194.78336,2860641.461,0,0,0,0,12017.38782,10692.08224,0,0,0,6403.96205,0,0,0,0,0,1160693.029,7738826.601,13638453.22404,41780,0,0,8239251,13680234,"inland",35850,51.33217415,-0.272020607,8.172271141,"england",13680233.22404
"Eston",715987.5899,0,603691.8255,709894.5475,44125.97821,0,0,0,0,9232.394252,0,0,0,0,0,0,2726.792333,0,0,4401708.717,6062420.413,12549788.257695,13081,0,0,8621868,12562869,"inland",29635,54.56563487,-1.153856131,2.735283321,"england",12562869.257695
"Evesham",489736.5728,0,3100098.793,1428019.538,354114.7463,0,0,3823.351267,0,0,0,0,0,212263.8537,0,0,0,0,0,1671844.219,5151139.123,12411040.197067,211260,0,0,7029352,12622301,"inland",28250,52.08589078,-1.946470288,6.051795536,"england",12622300.197067
"Ewell",718048.2895,20396.63558,99552.98824,2459156.693,0,0,0,0,3705.11277,300.1277401,0,0,0,10175.67717,0,0,0,0,0,1120668.945,7286142.733,11718147.2020001,51660,0,0,7134972,11769807,"inland",27515,51.34608234,-0.24358115,9.141237975,"england",11769807.2020001
